Capacity Cal,
Time (s),Intensity (a.u.)
0.100000002,163.2476501
0.300000012,163.8893127
0.5,165.2552948
0.699999988,164.9325714
0.900000036,163.1838837
1.100000024,163.4180298
1.300000072,165.0377655
1.5,165.0957947
1.700000048,164.0234985
1.899999976,163.7638855
2.100000143,163.2991333
2.299999952,164.0256805
2.5,163.9122925
2.700000048,162.6052551
2.900000095,164.51091
3.100000143,163.7033539
3.299999952,162.6608124
3.5,164.1544952
3.700000048,164.2658997
3.900000095,164.3488312
4.099999905,163.7052307
4.300000191,165.3855743
4.5,163.5347595
4.700000286,164.6189117
4.900000095,164.193161
5.099999905,164.5600586
5.300000191,163.0719757
5.5,164.5512543
5.700000286,163.5819244
5.900000095,164.8562317
6.099999905,163.7951508
6.300000191,165.1732941
6.5,164.4907227
6.700000286,164.9337006
6.900000095,165.7648468
7.099999905,165.7597504
7.300000191,165.134964
7.5,164.2854919
7.700000286,166.1996765
7.900000095,162.1244965
8.100000381,165.1905365
8.300000191,165.3107605
8.5,165.6695709
8.699999809,165.8509216
8.900000572,164.8791046
9.100000381,165.0916748
9.300000191,164.5213165
9.5,164.3173676
9.699999809,163.4945831
9.900000572,163.4671326
10.10000038,165.921524
10.30000019,164.0187378
10.5,164.4748077
10.69999981,165.5349121
10.90000057,163.7045746
11.10000038,163.287384
11.30000019,165.0831299
11.5,163.8238831
11.69999981,164.0952911
11.90000057,164.3768768
12.10000038,163.4759979
12.30000019,162.7902069
12.5,163.9725647
12.69999981,162.451004
12.90000057,165.2256622
13.10000038,162.8497162
13.30000019,161.7039948
13.5,163.0092468
13.69999981,162.8826447
13.90000057,164.4226685
14.10000038,163.451355
14.30000019,163.7840729
14.5,163.2107697
14.69999981,162.0587311
14.90000057,162.675293
15.10000038,162.7683716
15.30000019,164.4911957
15.5,164.5275269
15.69999981,164.333725
15.90000057,163.4945984
16.10000038,162.7251892
16.30000114,164.3751984
16.5,161.0368347
16.70000076,161.8669434
16.89999962,163.3213806
17.10000038,163.1190796
17.30000114,164.2442932
17.5,164.2028656
17.70000076,162.9749908
17.89999962,164.0830536
18.10000038,162.3699951
18.30000114,163.3485718
18.5,162.6567993
18.70000076,162.769165
18.89999962,162.9102325
19.10000038,162.9156494
19.30000114,163.5562592
19.5,163.1952972
19.70000076,163.6273499
19.89999962,161.9105835
20.10000038,162.1365204
20.30000114,162.8565979
20.5,164.1347198
20.70000076,162.5362701
20.89999962,164.6015625
21.10000038,163.489212
21.30000114,163.2054443
21.5,163.0499878
21.70000076,163.9562073
21.89999962,162.07164
22.10000038,163.3143616
22.30000114,162.4786682
22.5,161.7216034
22.70000076,163.5355988
22.89999962,164.5863037
23.10000038,163.1631927
23.30000114,164.5281067
23.5,162.4191742
23.70000076,162.1816559
23.89999962,162.3977356
24.10000038,162.2861176
24.30000114,164.1214752
24.5,161.3128815
24.70000076,161.9476318
24.89999962,161.3145599
25.10000038,163.269455
25.30000114,162.1885223
25.5,163.6881714
25.70000076,162.4946289
25.89999962,163.2525482
26.10000038,162.5248718
26.30000114,162.1405792
26.5,162.1722107
26.70000076,163.3830414
26.89999962,163.4792938
27.10000038,161.0062103
27.30000114,162.9958801
27.5,155.6285248
27.70000076,4.734888554
27.89999962,0.237634882
28.10000038,0.226398006
28.30000114,0.043431055
28.5,0.064665623
28.70000076,0.166311532
28.89999962,0.129430294
29.10000038,0.104438648
29.30000114,0.127854079
29.5,0.138890371
29.70000076,0.186123908
29.89999962,0.149976432
30.10000038,0.095448181
30.30000114,0.264511079
30.5,0.135535255
30.70000076,0.128683567
30.89999962,0.137532666
31.10000038,0.146379203
31.30000114,0.177766621
31.5,0.178682163
31.70000076,0.170748621
31.89999962,0.160856187
32.10000229,0.073049828
32.29999924,0.13541244
32.5,0.094081245
32.70000076,0.21506533
