Proton Cal,
Time (s),Intensity (a.u.)
0.100000002,82.24020386
0.300000012,82.87042999
0.5,81.74032593
0.699999988,82.80050659
0.900000036,82.08214569
1.100000024,82.84005737
1.300000072,82.2361908
1.5,81.51721954
1.700000048,82.98234558
1.899999976,82.80710602
2.100000143,82.42609406
2.299999952,82.44295502
2.5,83.08531952
2.700000048,82.83999634
2.900000095,82.8422699
3.100000143,83.57125092
3.299999952,82.37711334
3.5,82.13922882
3.700000048,83.25384521
3.900000095,82.35902405
4.099999905,82.3248291
4.300000191,80.89009857
4.5,82.14906311
4.700000286,82.02488708
4.900000095,82.97206116
5.099999905,82.90348053
5.300000191,82.97412872
5.5,82.31757355
5.700000286,82.90139771
5.900000095,82.7124176
6.099999905,83.20755768
6.300000191,81.44839478
6.5,82.37667847
6.700000286,83.02411652
6.900000095,82.47164154
7.099999905,81.07463837
7.300000191,82.40487671
7.5,82.73313904
7.700000286,81.90718842
7.900000095,83.1049118
8.100000381,82.92157745
8.300000191,82.6129837
8.5,82.09233093
8.699999809,83.36556244
8.900000572,83.0739212
9.100000381,82.88232422
9.300000191,82.70597839
9.5,82.27111053
9.699999809,83.27437592
9.900000572,82.76707458
10.10000038,82.60927582
10.30000019,82.96246338
10.5,82.1703949
10.69999981,83.36266327
10.90000057,82.09975433
11.10000038,83.16461945
11.30000019,83.27732086
11.5,82.75458527
11.69999981,82.18389893
11.90000057,83.29444122
12.10000038,82.3446579
12.30000019,82.39641571
12.5,82.30238342
12.69999981,83.1756897
12.90000057,82.58657074
13.10000038,83.30275726
13.30000019,82.03822327
13.5,82.81354523
13.69999981,83.04544067
13.90000057,83.82196808
14.10000038,82.38933563
14.30000019,82.19548798
14.5,82.19521332
14.69999981,83.93386841
14.90000057,83.06603241
15.10000038,83.11754608
15.30000019,82.95067596
15.5,83.05841827
15.69999981,82.79356384
15.90000057,82.45748138
16.10000038,82.55950928
16.30000114,83.05051422
16.5,82.6567688
16.70000076,82.92954254
16.89999962,83.49783325
17.10000038,82.18458557
17.30000114,82.56176758
17.5,83.5712204
17.70000076,82.49430084
17.89999962,82.66542053
18.10000038,83.27346802
18.30000114,82.85002899
18.5,83.35829926
18.70000076,82.75152588
18.89999962,83.41251373
19.10000038,81.98002625
19.30000114,82.79550934
19.5,82.889328
19.70000076,82.63871002
19.89999962,83.21762085
20.10000038,81.96513367
20.30000114,83.15590668
20.5,82.79680634
20.70000076,82.37252045
20.89999962,82.42639923
21.10000038,82.88957977
21.30000114,82.42417908
21.5,83.1736908
21.70000076,82.07091522
21.89999962,82.7870636
22.10000038,82.03112793
22.30000114,82.64822388
22.5,82.41952515
22.70000076,81.92417908
22.89999962,80.99591064
23.10000038,82.64155579
23.30000114,83.71633148
23.5,83.11559296
23.70000076,82.52238464
23.89999962,83.29853821
24.10000038,82.61971283
24.30000114,83.12226868
24.5,81.78218079
24.70000076,83.1025238
24.89999962,83.21417999
25.10000038,82.61649323
25.30000114,82.72367859
25.5,83.12381744
25.70000076,81.53034973
25.89999962,81.9212265
26.10000038,83.2902298
26.30000114,83.5317688
26.5,81.61228943
26.70000076,83.32054138
26.89999962,83.0414505
27.10000038,83.60479736
27.30000114,81.95453644
27.5,83.69747162
27.70000076,83.03356934
27.89999962,83.28936005
28.10000038,83.32174683
28.30000114,85.07987213
28.5,83.66203308
28.70000076,83.5370636
28.89999962,84.27328491
29.10000038,84.92642212
29.30000114,85.50475311
29.5,84.99513245
29.70000076,85.89476776
29.89999962,86.37091827
30.10000038,87.02568054
30.30000114,87.20829773
30.5,87.62640381
30.70000076,87.97245026
30.89999962,88.29450226
31.10000038,89.21807861
31.30000114,88.18022919
