GDP + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
0.100000002,80.28321838
0.300000012,79.01641083
0.5,80.10169983
0.699999988,79.64048767
0.900000036,80.18984985
1.100000024,80.77026367
1.300000072,80.61257935
1.5,79.17072296
1.700000048,79.16892242
1.899999976,80.53778839
2.100000143,79.65805054
2.299999952,78.87284088
2.5,79.67711639
2.700000048,80.16093445
2.900000095,79.39577484
3.100000143,80.40293121
3.299999952,79.70243073
3.5,80.1625824
3.700000048,79.58428192
3.900000095,80.3274765
4.099999905,81.4712677
4.300000191,81.13565826
4.5,81.18508148
4.700000286,81.06726837
4.900000095,80.20005798
5.099999905,80.81048584
5.300000191,80.4322052
5.5,79.59971619
5.700000286,81.09875488
5.900000095,79.66056061
6.099999905,80.12137604
6.300000191,80.74558258
6.5,81.30397797
6.700000286,80.34693146
6.900000095,80.28863525
7.099999905,80.75591278
7.300000191,81.51777649
7.5,81.12936401
7.700000286,80.76551056
7.900000095,81.90904236
8.100000381,81.28308105
8.300000191,81.1570282
8.5,80.51521301
8.699999809,81.23286438
8.900000572,81.51612091
9.100000381,80.46000671
9.300000191,81.26848602
9.5,81.19776917
9.699999809,80.82476044
9.900000572,80.95139313
10.10000038,81.49552917
10.30000019,80.38704681
10.5,80.09475708
10.69999981,79.17930603
10.90000057,79.63603973
11.10000038,80.18826294
11.30000019,81.0583725
11.5,79.65948486
11.69999981,80.08116913
11.90000057,80.275177
12.10000038,80.89916229
12.30000019,80.57383728
12.5,80.41209412
12.69999981,80.13871765
12.90000057,79.61360168
13.10000038,80.14086914
13.30000019,79.83341217
13.5,79.80044556
13.69999981,79.26709747
13.90000057,79.9723053
14.10000038,80.29733276
14.30000019,80.17972565
14.5,80.66322327
14.69999981,81.41912842
14.90000057,79.65567017
15.10000038,79.38189697
15.30000019,79.73918915
15.5,79.66271973
15.69999981,80.80082703
15.90000057,80.90795135
16.10000038,80.342659
16.30000114,81.18778992
16.5,80.31884766
16.70000076,80.99420166
16.89999962,81.51025391
17.10000038,80.67057037
17.30000114,80.91194153
17.5,81.41412354
17.70000076,81.73188019
17.89999962,80.9575882
18.10000038,80.84952545
18.30000114,81.23499298
18.5,81.18154144
18.70000076,81.53360748
18.89999962,82.10222626
19.10000038,83.90381622
19.30000114,80.87527466
19.5,82.28546906
19.70000076,82.5602951
19.89999962,81.8552475
20.10000038,82.15581512
20.30000114,82.05641937
20.5,82.55942535
20.70000076,81.05142212
20.89999962,81.20687866
21.10000038,82.00083923
21.30000114,80.83760071
21.5,79.43041992
21.70000076,81.00309753
21.89999962,79.93857574
22.10000038,81.15744781
22.30000114,79.7188797
22.5,80.03082275
22.70000076,80.50387573
22.89999962,79.55522156
23.10000038,79.80970764
23.30000114,79.58657074
23.5,81.08274841
23.70000076,81.76060486
23.89999962,80.98646545
24.10000038,81.35939026
24.30000114,80.45223236
24.5,80.05818176
24.70000076,80.60264587
24.89999962,80.69029236
25.10000038,80.0243454
25.30000114,80.295578
25.5,80.88867188
25.70000076,79.98754883
25.89999962,80.63248444
26.10000038,81.00736237
26.30000114,80.42004395
26.5,80.02220154
26.70000076,78.55349731
26.89999962,80.66031647
27.10000038,79.86777496
27.30000114,80.28838348
27.5,80.08840179
27.70000076,80.24203491
27.89999962,79.29580688
28.10000038,80.00041199
28.30000114,79.87039185
28.5,80.0592041
28.70000076,79.94580078
28.89999962,80.1924057
29.10000038,79.75057983
29.30000114,79.44608307
29.5,80.13860321
29.70000076,80.2600708
29.89999962,78.63248444
30.10000038,80.34581757
30.30000114,80.24308014
30.5,80.00289154
30.70000076,80.83444977
30.89999962,80.4705658
31.10000038,80.57711792
31.30000114,80.35648346
31.5,81.30344391
31.70000076,80.08111572
31.89999962,80.34477997
32.10000229,80.18731689
32.29999924,81.23739624
32.5,79.48445892
32.70000076,80.22620392
32.90000153,79.44771576
33.10000229,80.76876068
