OA + 10uM NB65 + TBS,
Time (s),Intensity (a.u.)
0.100000002,83.54914093
0.300000012,83.65254974
0.5,84.11264801
0.699999988,84.17984009
0.900000036,83.48523712
1.100000024,84.34506989
1.300000072,83.91717529
1.5,84.64041138
1.700000048,83.57511902
1.899999976,84.42326355
2.100000143,83.7151947
2.299999952,84.47399139
2.5,83.52371979
2.700000048,83.91316986
2.900000095,85.71060181
3.100000143,84.67297363
3.299999952,84.43554688
3.5,83.84014893
3.700000048,84.57803345
3.900000095,85.51396179
4.099999905,85.96947479
4.300000191,84.67527771
4.5,85.96617889
4.700000286,85.83683014
4.900000095,85.66838837
5.099999905,83.9122467
5.300000191,85.33049011
5.5,84.65112305
5.700000286,84.34037781
5.900000095,84.82237244
6.099999905,84.66477966
6.300000191,85.65723419
6.5,84.59679413
6.700000286,84.33310699
6.900000095,85.2726059
7.099999905,85.13100433
7.300000191,86.07041168
7.5,84.08344269
7.700000286,84.74507141
7.900000095,84.47927094
8.100000381,84.64558411
8.300000191,86.13584137
8.5,85.54727936
8.699999809,84.30142975
8.900000572,83.71884918
9.100000381,85.09346008
9.300000191,83.86747742
9.5,84.41785431
9.699999809,85.29129028
9.900000572,85.23371124
10.10000038,85.24744415
10.30000019,84.29685211
10.5,86.31452179
10.69999981,86.72216797
10.90000057,84.8924408
11.10000038,85.89474487
11.30000019,85.23477936
11.5,84.62213898
11.69999981,85.5422287
11.90000057,84.3737793
12.10000038,85.8164978
12.30000019,85.23335266
12.5,86.07169342
12.69999981,85.97251892
12.90000057,85.12168884
13.10000038,86.03108215
13.30000019,85.46374512
13.5,84.74391174
13.69999981,85.21356964
13.90000057,83.59924316
14.10000038,85.83187103
14.30000019,84.36516571
14.5,85.40948486
14.69999981,85.50572205
14.90000057,86.22354126
15.10000038,85.86478424
15.30000019,85.32120514
15.5,84.80254364
15.69999981,85.06676483
15.90000057,85.47806549
16.10000038,85.44189453
16.30000114,87.36953735
16.5,87.35774994
16.70000076,87.39943695
16.89999962,87.65328979
17.10000038,87.40070343
17.30000114,89.06623077
17.5,87.69028473
17.70000076,89.34817505
17.89999962,89.73196411
18.10000038,89.25388336
18.30000114,87.93315125
18.5,88.6623764
18.70000076,89.06272888
18.89999962,88.34851837
19.10000038,86.13907623
19.30000114,87.39138031
19.5,87.58987427
19.70000076,86.37032318
19.89999962,86.59369659
20.10000038,86.27216339
20.30000114,85.66967773
20.5,86.09619904
20.70000076,85.53674316
20.89999962,85.46918488
21.10000038,85.33410645
21.30000114,84.80198669
21.5,86.18412018
21.70000076,85.84107971
21.89999962,85.75440979
22.10000038,84.88987732
22.30000114,85.81301117
22.5,85.07746124
22.70000076,86.17396545
22.89999962,86.42105103
23.10000038,86.41720581
23.30000114,85.95139313
23.5,86.30190277
23.70000076,86.19816589
23.89999962,85.7605896
24.10000038,85.76452637
24.30000114,85.92434692
24.5,85.2996521
24.70000076,85.32151031
24.89999962,86.00441742
25.10000038,86.54666901
25.30000114,85.08676147
25.5,84.69215393
25.70000076,86.20783234
25.89999962,85.89245605
26.10000038,86.98027802
26.30000114,85.52122498
26.5,85.21876526
26.70000076,86.7795639
26.89999962,86.64415741
27.10000038,87.50138092
27.30000114,85.29180145
27.5,86.56204987
27.70000076,86.40003204
27.89999962,85.8140564
28.10000038,86.16687012
28.30000114,85.31160736
28.5,87.64232635
28.70000076,86.31224823
28.89999962,85.97303772
29.10000038,86.52373505
29.30000114,86.32558441
29.5,86.1470871
29.70000076,85.6318512
29.89999962,85.99490356
30.10000038,86.15778351
30.30000114,86.05876923
30.5,86.05903625
30.70000076,86.77063751
30.89999962,86.27566528
31.10000038,86.12340546
31.30000114,85.93352509
31.5,85.86710358
31.70000076,87.07233429
31.89999962,86.33197784
32.10000229,86.46916199
32.29999924,86.3577652
32.5,86.54205322
32.70000076,85.49182892
32.90000153,86.55947113
33.10000229,86.15777588
33.29999924,87.18870544
33.5,87.15974426
33.70000076,86.87434387
33.90000153,86.33564758
34.10000229,86.98498535
34.29999924,85.35110474
34.5,86.44267273
34.70000076,86.90755463
34.90000153,86.85292053
35.10000229,85.15424347
35.29999924,86.47618866
35.5,87.10513306
35.70000076,86.53977966
35.90000153,87.27256775
36.10000229,86.62778473
36.29999924,87.77940369
36.5,86.16214752
36.70000076,86.6693573
36.90000153,86.79891968
37.10000229,85.79676819
37.29999924,87.12062073
37.5,87.99052429
37.70000076,87.22463226
37.90000153,87.23030853
38.10000229,86.90131378
38.29999924,87.06817627
38.5,86.38535309
38.70000076,87.81279755
38.90000153,86.93228912
39.10000229,86.5333786
39.29999924,86.57102203
39.5,86.3245697
39.70000076,86.83970642
39.90000153,86.03183746
40.10000229,85.66166687
40.29999924,86.69412231
40.5,86.3792572
40.70000076,84.91423035
40.90000153,96.22036743
41.10000229,89.10173035
41.29999924,87.43771362
41.5,90.09073639
41.70000076,88.82185364
41.90000153,89.59979248
42.10000229,89.73020172
42.29999924,89.04431152
42.5,90.49389648
42.70000076,90.63568878
42.90000153,90.07071686
43.10000229,91.06588745
43.29999924,92.51617432
43.5,92.26113892
43.70000076,92.71459961
43.90000153,92.58251953
44.10000229,93.30857086
44.29999924,94.37706757
44.5,95.21315765
44.70000076,94.12859344
44.90000153,95.29717255
45.10000229,95.72273254
45.29999924,94.89118958
45.5,95.13492584
45.70000076,96.73783875
45.90000153,94.90393829
46.10000229,97.1522522
46.29999924,96.18199921
46.5,96.34610748
46.70000076,96.9677124
46.90000153,97.74069214
47.10000229,98.91124725
47.29999924,98.2157135
47.5,98.29178619
47.70000076,98.29110718
47.90000153,99.22825623
48.10000229,98.13871002
48.29999924,99.09403229
48.5,99.54349518
48.70000076,98.51734161
48.90000153,101.0930557
49.10000229,100.5535812
49.29999924,99.96244049
49.5,100.6737137
49.70000076,100.4038925
49.90000153,100.4054031
50.10000229,99.84405518
50.29999924,101.4122314
50.5,101.1015549
50.70000076,99.89396667
50.90000153,101.1789627
51.10000229,101.2178192
51.29999924,100.9901352
51.5,101.0406647
51.70000076,100.8603592
51.90000153,101.2975998
52.10000229,101.8206482
52.29999924,100.4365921
52.5,101.7830276
52.70000076,102.0648117
52.90000153,101.25811
53.10000229,102.4363785
53.29999924,102.2310638
53.5,103.3086853
53.70000076,101.114769
53.90000153,102.5692978
54.10000229,100.9514694
54.29999924,101.2344666
54.5,102.1835632
54.70000076,102.866478
54.90000153,102.5752106
55.10000229,101.5625839
55.29999924,102.2140121
55.5,102.7271118
55.70000076,100.643158
55.90000153,101.1401291
56.10000229,100.4899902
56.29999924,101.8490982
56.5,101.6130829
56.70000076,100.6156616
56.90000153,100.7875824
57.10000229,100.3184357
57.29999924,100.1254807
57.5,101.3354187
57.70000076,101.2013779
57.90000153,100.4616318
58.10000229,101.5190659
