OA + 50uM NB65 + TBS (5 min),
Time (s),Intensity (a.u.)
0.100000002,87.69299316
0.300000012,87.35225677
0.5,87.29881287
0.699999988,87.45294189
0.900000036,88.54903412
1.100000024,87.9025116
1.300000072,88.36354065
1.5,88.29253387
1.700000048,88.11013794
1.899999976,88.11735535
2.100000143,89.01773071
2.299999952,89.44790649
2.5,87.48674011
2.700000048,88.12059021
2.900000095,87.98252869
3.100000143,89.25965118
3.299999952,89.98929596
3.5,89.30360413
3.700000048,90.02558899
3.900000095,90.5032959
4.099999905,90.25247955
4.300000191,90.62033081
4.5,92.08433533
4.700000286,92.49414063
4.900000095,93.85371399
5.099999905,92.99445343
5.300000191,92.17121124
5.5,90.72753906
5.700000286,89.83942413
5.900000095,89.47222137
6.099999905,88.14422607
6.300000191,89.7937088
6.5,89.37689209
6.700000286,89.74345398
6.900000095,89.53166962
7.099999905,87.99449158
7.300000191,89.40490723
7.5,90.11404419
7.700000286,90.05104828
7.900000095,90.5014267
8.100000381,90.63076019
8.300000191,89.7014389
8.5,90.55921936
8.699999809,88.81575775
8.900000572,89.7024231
9.100000381,88.86271667
9.300000191,90.09527588
9.5,89.14219666
9.699999809,89.51016998
9.900000572,88.2851944
10.10000038,89.83255005
10.30000019,89.59498596
10.5,89.9574585
10.69999981,89.61733246
10.90000057,89.97340393
11.10000038,88.47290039
11.30000019,90.36746216
11.5,88.74357605
11.69999981,88.49472046
11.90000057,89.07129669
12.10000038,90.09346771
12.30000019,88.62942505
12.5,89.79280853
12.69999981,89.28347015
12.90000057,87.49893188
13.10000038,88.90474701
13.30000019,89.41413879
13.5,88.38626099
13.69999981,89.38973236
13.90000057,89.33712006
14.10000038,88.84140778
14.30000019,88.58769989
14.5,88.49710846
14.69999981,88.46572876
14.90000057,88.58565521
15.10000038,89.60652161
15.30000019,89.05459595
15.5,88.96868896
15.69999981,90.06531525
15.90000057,89.82878876
16.10000038,89.99246979
16.30000114,90.18845367
16.5,90.86344147
16.70000076,92.01984406
16.89999962,91.50483704
17.10000038,93.57636261
17.30000114,92.75802612
17.5,94.22387695
17.70000076,94.31464386
17.89999962,94.78996277
18.10000038,93.09863281
18.30000114,94.76773071
18.5,92.89981842
18.70000076,92.03780365
18.89999962,93.06285095
19.10000038,92.61488342
19.30000114,90.54568481
19.5,90.15084076
19.70000076,89.036026
19.89999962,90.16452026
20.10000038,88.45644379
20.30000114,88.17411041
20.5,87.55249786
20.70000076,88.59108734
20.89999962,88.25233459
21.10000038,87.76887512
21.30000114,87.48143005
21.5,86.587677
21.70000076,87.27542877
21.89999962,88.28083801
22.10000038,88.12531281
22.30000114,86.27773285
22.5,86.94190979
22.70000076,87.64215851
22.89999962,86.54376984
23.10000038,87.24895477
23.30000114,87.34191132
23.5,87.74691772
23.70000076,88.59467316
23.89999962,87.56599426
24.10000038,86.65171051
24.30000114,87.81178284
24.5,87.11896515
24.70000076,86.56065369
24.89999962,87.03214264
25.10000038,87.34053802
25.30000114,87.54788208
25.5,87.5510025
25.70000076,88.11037445
25.89999962,87.04174805
26.10000038,86.89847565
26.30000114,87.14662933
26.5,87.71876526
26.70000076,88.99288177
26.89999962,87.72267914
27.10000038,87.72389984
27.30000114,87.66477203
27.5,86.92111969
27.70000076,88.05295563
27.89999962,87.62560272
28.10000038,87.38996124
28.30000114,88.39692688
28.5,88.29397583
28.70000076,87.54995728
28.89999962,87.72360229
29.10000038,87.45890045
29.30000114,88.30474854
29.5,88.20690918
29.70000076,88.39028931
29.89999962,87.68699646
30.10000038,87.59712982
30.30000114,88.23713684
30.5,88.52335358
30.70000076,87.99727631
30.89999962,87.18797302
31.10000038,88.9804306
31.30000114,88.40110779
31.5,88.75853729
31.70000076,87.98496246
31.89999962,88.54470062
32.10000229,87.28579712
32.29999924,87.72801208
32.5,88.71408081
32.70000076,88.83111572
32.90000153,88.28701019
33.10000229,87.32039642
33.29999924,88.70845795
33.5,88.4604187
33.70000076,87.89211273
33.90000153,88.85687256
34.10000229,89.7013092
34.29999924,88.87512207
34.5,89.93810272
34.70000076,89.65357971
34.90000153,89.08848572
35.10000229,90.38632202
35.29999924,90.10845184
35.5,89.56464386
35.70000076,90.38860321
35.90000153,90.7497406
36.10000229,91.02329254
36.29999924,90.73531342
36.5,92.77835846
36.70000076,92.18386841
36.90000153,92.6601944
37.10000229,92.01901245
37.29999924,93.96330261
37.5,95.33763885
37.70000076,94.1697464
37.90000153,94.31490326
38.10000229,94.93919373
38.29999924,93.89341736
38.5,95.0280838
38.70000076,95.40695953
38.90000153,94.69787598
39.10000229,93.61421967
39.29999924,94.53334045
39.5,94.07170105
39.70000076,94.14408112
39.90000153,95.42233276
40.10000229,94.69956207
40.29999924,94.08823395
40.5,94.0647583
40.70000076,94.121521
40.90000153,93.51222229
41.10000229,89.0252533
41.29999924,85.01737976
41.5,87.16885376
41.70000076,97.76905823
41.90000153,90.55480194
42.10000229,90.28173828
42.29999924,91.41829681
42.5,90.62786102
42.70000076,90.27936554
42.90000153,90.63694763
43.10000229,92.58268738
43.29999924,92.84957886
43.5,92.3788681
43.70000076,92.71816254
43.90000153,93.19050598
44.10000229,93.89972687
44.29999924,95.02742767
44.5,93.6202774
44.70000076,94.71694183
44.90000153,94.17517853
45.10000229,95.17450714
45.29999924,96.34967804
45.5,96.09333038
45.70000076,95.94972229
45.90000153,96.55751038
46.10000229,98.30125427
46.29999924,97.1657486
46.5,97.09929657
46.70000076,99.24018097
46.90000153,99.87827301
47.10000229,101.6289215
47.29999924,99.40979004
47.5,98.63353729
47.70000076,97.72705841
47.90000153,98.10655212
48.10000229,97.61789703
48.29999924,99.59713745
48.5,99.78002167
48.70000076,97.92388916
48.90000153,99.41710663
49.10000229,99.5626297
49.29999924,98.15764618
49.5,100.0710144
49.70000076,100.1842422
49.90000153,99.01313782
50.10000229,99.43727875
50.29999924,100.1890411
50.5,99.91213226
50.70000076,100.6032715
50.90000153,99.92116547
51.10000229,98.97641754
51.29999924,98.47968292
51.5,99.86981964
51.70000076,100.1162491
51.90000153,100.7994003
52.10000229,99.81815338
52.29999924,101.411972
52.5,99.41149139
52.70000076,98.64804077
52.90000153,98.92327881
53.10000229,99.7963562
53.29999924,100.218399
53.5,100.9337997
53.70000076,101.0659485
53.90000153,100.4266739
54.10000229,100.0410156
54.29999924,100.0216522
54.5,102.1070557
54.70000076,101.8138428
54.90000153,103.4263382
55.10000229,104.7612076
55.29999924,103.5628357
55.5,104.1081772
55.70000076,105.8279572
55.90000153,105.523407
56.10000229,105.3177109
56.29999924,106.3956757
56.5,106.194313
56.70000076,106.344429
56.90000153,106.0016327
57.10000229,104.4853363
57.29999924,102.5142212
57.5,101.8309937
57.70000076,100.0325546
57.90000153,99.66452789
58.10000229,100.3024216
58.29999924,100.2804184
58.5,100.5726852
58.70000076,100.1523666
