GDP,
Time (s),Intensity (a.u.)
0.100000002,89.35928345
0.300000012,91.10298157
0.5,90.34195709
0.699999988,90.10784149
0.900000036,90.26272583
1.100000024,89.68941498
1.300000072,91.95145416
1.5,91.13047791
1.700000048,89.87063599
1.899999976,90.78811646
2.100000143,89.33833313
2.299999952,91.26509857
2.5,90.95155334
2.700000048,90.29917908
2.900000095,88.44076538
3.100000143,91.13083649
3.299999952,90.58422852
3.5,91.95724487
3.700000048,91.11222076
3.900000095,90.66233826
4.099999905,90.69494629
4.300000191,91.26469421
4.5,91.35372162
4.700000286,90.97924805
4.900000095,92.24112701
5.099999905,90.55981445
5.300000191,92.52301025
5.5,90.18120575
5.700000286,92.74280548
5.900000095,91.1269989
6.099999905,90.52505493
6.300000191,91.11991119
6.5,91.62760162
6.700000286,89.99768829
6.900000095,90.70200348
7.099999905,91.36180115
7.300000191,92.2498703
7.5,91.45789337
7.700000286,91.66860199
7.900000095,91.11850739
8.100000381,91.37805939
8.300000191,92.16375732
8.5,92.80488586
8.699999809,91.96475983
8.900000572,92.54386902
9.100000381,92.74040985
9.300000191,92.43214417
9.5,93.18897247
9.699999809,92.63861084
9.900000572,92.44490051
10.10000038,92.99610901
10.30000019,91.58379364
10.5,93.1885376
10.69999981,92.53623962
10.90000057,93.01554108
11.10000038,93.25434875
11.30000019,92.74625397
11.5,93.11190033
11.69999981,93.71031189
11.90000057,94.11383057
12.10000038,93.84538269
12.30000019,93.23842621
12.5,92.66625977
12.69999981,95.01374817
12.90000057,93.70437622
13.10000038,93.86941528
13.30000019,92.02846527
13.5,92.82169342
13.69999981,93.850914
13.90000057,94.18704224
14.10000038,93.0074234
14.30000019,93.85852814
14.5,93.99482727
14.69999981,93.06481934
14.90000057,94.36411285
15.10000038,94.65392303
15.30000019,94.23820496
15.5,93.22522736
15.69999981,94.51974487
15.90000057,93.71987915
16.10000038,93.58422089
16.30000114,93.974617
16.5,93.73861694
16.70000076,94.08505249
16.89999962,94.8409729
17.10000038,94.48851776
17.30000114,93.48002625
17.5,94.19902039
17.70000076,93.23922729
17.89999962,93.43876648
18.10000038,94.27964783
18.30000114,94.22753906
18.5,94.35510254
18.70000076,93.94187927
18.89999962,94.70133972
19.10000038,94.54325867
19.30000114,94.04483032
19.5,93.95249176
19.70000076,94.70449829
19.89999962,94.421875
20.10000038,94.63272095
20.30000114,94.89803314
20.5,94.38832855
20.70000076,95.12389374
20.89999962,94.72335815
21.10000038,94.99498749
21.30000114,96.21115112
21.5,95.00061035
21.70000076,94.39824677
21.89999962,94.79334259
22.10000038,95.57371521
22.30000114,95.45146179
22.5,95.91018677
22.70000076,95.57061768
22.89999962,94.59915161
23.10000038,95.01076508
23.30000114,95.69967651
23.5,95.58435822
23.70000076,95.22779083
23.89999962,95.55889893
24.10000038,95.24183655
24.30000114,94.43092346
24.5,95.6844635
24.70000076,95.17266846
24.89999962,96.06856537
25.10000038,95.36367798
25.30000114,94.9440155
25.5,94.33831024
25.70000076,95.95606995
25.89999962,94.58248138
26.10000038,95.31111908
26.30000114,95.39302063
26.5,95.19896698
26.70000076,94.71585846
26.89999962,95.34420013
27.10000038,95.08886719
27.30000114,95.33537292
27.5,95.82933807
27.70000076,95.70496368
27.89999962,96.70863342
28.10000038,95.99925995
28.30000114,95.89200592
28.5,95.73757172
28.70000076,95.55519104
28.89999962,96.03329468
29.10000038,96.36226654
29.30000114,95.92975616
29.5,96.09024811
29.70000076,94.76383972
29.89999962,95.73538208
30.10000038,97.14600372
30.30000114,95.24156189
30.5,96.62219238
30.70000076,97.19022369
30.89999962,95.34082794
31.10000038,95.53975677
31.30000114,96.53549194
31.5,95.80268097
31.70000076,96.22554016
31.89999962,96.44285583
32.10000229,96.19728851
32.29999924,96.61863708
32.5,95.51791382
32.70000076,95.9952774
32.90000153,96.92576599
33.10000229,95.77526855
33.29999924,96.06381989
33.5,96.15786743
33.70000076,95.7562027
33.90000153,95.96598816
34.10000229,96.90576172
34.29999924,97.29490662
34.5,96.64933014
34.70000076,96.74886322
34.90000153,96.40532684
35.10000229,97.03422546
35.29999924,97.16461182
35.5,96.65903473
35.70000076,96.94218445
35.90000153,96.6601181
36.10000229,97.81933594
36.29999924,96.70026398
36.5,96.7513504
36.70000076,97.28401947
36.90000153,96.49823761
37.10000229,96.49926758
37.29999924,96.36018372
37.5,96.55950165
37.70000076,98.50217438
37.90000153,96.97898865
38.10000229,96.7141571
38.29999924,96.99443054
38.5,96.53996277
38.70000076,97.6337738
38.90000153,97.50273895
39.10000229,97.3376236
39.29999924,96.8372879
39.5,96.75658417
39.70000076,97.28520203
39.90000153,97.88276672
40.10000229,98.04019928
40.29999924,98.01657867
40.5,96.78943634
40.70000076,98.13802338
40.90000153,97.79237366
41.10000229,92.08907318
41.29999924,105.333992
41.5,98.4159317
41.70000076,97.67814636
41.90000153,98.10601044
42.10000229,99.43865967
42.29999924,98.10119629
42.5,97.79847717
42.70000076,99.1530838
42.90000153,98.06626892
43.10000229,97.91495514
43.29999924,98.89592743
43.5,98.39009857
43.70000076,98.99185181
43.90000153,98.88919067
44.10000229,97.41134644
44.29999924,99.03978729
44.5,97.93798828
44.70000076,98.44880676
44.90000153,98.2397995
45.10000229,97.87814331
45.29999924,97.40397644
45.5,99.72623444
45.70000076,99.56593323
45.90000153,97.97792816
46.10000229,99.7207489
46.29999924,99.71286011
46.5,98.16094208
46.70000076,98.93468475
46.90000153,98.25727081
47.10000229,98.78266907
47.29999924,100.1960144
47.5,99.45558167
47.70000076,99.87457275
47.90000153,98.87837982
48.10000229,99.74038696
48.29999924,100.3874283
48.5,100.0378876
48.70000076,99.66647339
48.90000153,100.6685257
49.10000229,99.05640411
49.29999924,98.75696564
49.5,99.73059845
49.70000076,99.16694641
49.90000153,99.81455994
50.10000229,99.33768463
50.29999924,99.50101471
50.5,99.32956696
50.70000076,99.5250473
50.90000153,100.2897034
51.10000229,99.44281006
51.29999924,99.00359344
51.5,99.15846252
51.70000076,100.0126419
51.90000153,98.99726105
52.10000229,99.97329712
52.29999924,99.7760849
52.5,99.67707825
52.70000076,101.1546936
52.90000153,101.130043
53.10000229,100.364769
53.29999924,99.61886597
53.5,100.020874
53.70000076,100.1196365
53.90000153,100.1317673
54.10000229,100.2005157
54.29999924,99.37210083
54.5,98.98845673
54.70000076,99.15769196
54.90000153,100.368721
55.10000229,99.72344971
55.29999924,101.5263748
55.5,99.99897766
55.70000076,99.4623642
55.90000153,100.2420578
56.10000229,100.982132
56.29999924,99.05722046
56.5,100.2011032
56.70000076,101.9162903
56.90000153,100.5150528
57.10000229,100.5886307
57.29999924,100.1935272
57.5,100.7889862
57.70000076,102.5092163
57.90000153,99.3795166
58.10000229,101.3573456
58.29999924,100.7698288
58.5,101.4416504
58.70000076,102.0131149
58.90000153,101.0343399
59.10000229,101.3780441
59.29999924,101.6822357
59.5,100.6406784
59.70000076,100.7827301
59.90000153,101.4761276
60.10000229,100.6956863
60.29999924,101.3140717
60.5,100.160965
60.70000076,100.506691
60.90000153,100.4738083
61.10000229,101.0154724
61.29999924,101.4392853
61.5,101.0421829
61.70000076,101.1673965
61.90000153,101.5290146
62.10000229,99.48204041
62.29999924,100.3890381
62.5,100.0534134
62.70000076,100.7391052
62.90000153,101.4561157
63.10000229,101.283844
63.29999924,101.0496521
63.5,100.7243271
63.70000076,102.161705
63.90000153,101.8104706
64.09999847,102.0794525
64.30000305,101.6679382
64.5,101.0784912
64.70000458,102.2674255
64.90000153,102.0402145
65.09999847,101.3704987
65.30000305,102.0719147
65.5,102.0050659
65.70000458,102.8178711
65.90000153,101.3652496
66.09999847,101.855278
66.30000305,102.7934952
66.5,102.622261
66.70000458,101.2209854
66.90000153,101.7558594
67.09999847,101.6370544
67.30000305,101.0993195
67.5,102.5875626
67.70000458,102.149292
67.90000153,101.729599
68.09999847,102.0063477
68.30000305,101.9542542
68.5,100.6039963
68.70000458,102.2434006
68.90000153,102.602684
69.09999847,102.41082
69.30000305,102.7799454
69.5,100.9403992
69.70000458,101.2502365
69.90000153,102.5688858
70.09999847,102.0262375
70.30000305,102.2750626
70.5,102.2394485
70.70000458,102.7310944
70.90000153,102.3549347
71.09999847,101.7962341
71.30000305,102.7097397
71.5,102.9694519
71.70000458,102.3762665
71.90000153,102.2580185
72.09999847,103.3608093
72.30000305,101.2487793
72.5,102.4429092
72.70000458,101.548378
72.90000153,102.0587921
73.09999847,102.9486771
73.30000305,101.7403564
73.5,101.8276215
73.70000458,101.8245087
73.90000153,102.4124603
74.09999847,103.2491302
74.30000305,103.3116837
74.5,103.4240646
74.70000458,101.7216873
74.90000153,103.0876389
75.09999847,102.2247696
75.30000305,102.6673889
75.5,102.3442154
75.70000458,102.0599518
75.90000153,102.5735779
76.09999847,103.4543686
76.30000305,102.2601166
76.5,102.1219711
76.70000458,103.2463837
76.90000153,102.7625656
77.09999847,103.1865692
77.30000305,103.0535812
77.5,102.8074036
77.70000458,102.9952316
77.90000153,102.6048203
78.09999847,102.9268494
78.30000305,102.7797394
78.5,103.544342
78.70000458,102.3629303
78.90000153,103.3086624
79.09999847,103.2100754
79.30000305,103.6305161
79.5,103.3394852
79.70000458,102.7902832
79.90000153,101.7695541
80.09999847,102.5018005
80.30000305,103.4950485
80.5,103.2423477
80.70000458,102.4371567
80.90000153,102.8204727
81.09999847,101.8722916
81.30000305,102.7460556
81.5,101.9954071
81.70000458,103.4547501
81.90000153,103.2444305
