OA,
Time (s),Intensity (a.u.)
0.100000002,86.69020081
0.300000012,86.5991745
0.5,86.08111572
0.699999988,87.10723877
0.900000036,85.76754761
1.100000024,85.58905029
1.300000072,85.87433624
1.5,85.11439514
1.700000048,86.32262421
1.899999976,86.66851807
2.100000143,85.57774353
2.299999952,86.06350708
2.5,85.64551544
2.700000048,86.68244171
2.900000095,86.71430969
3.100000143,85.65994263
3.299999952,86.55375671
3.5,86.63613129
3.700000048,85.26076508
3.900000095,86.40039825
4.099999905,86.58023071
4.300000191,86.19721222
4.5,85.75322723
4.700000286,86.63924408
4.900000095,87.29476929
5.099999905,86.24755859
5.300000191,86.5880661
5.5,86.93876648
5.700000286,87.13806152
5.900000095,88.17996216
6.099999905,86.24448395
6.300000191,87.2907486
6.5,87.38946533
6.700000286,87.0242157
6.900000095,86.20381165
7.099999905,87.76232147
7.300000191,86.35300446
7.5,87.86436462
7.700000286,87.95262146
7.900000095,87.23425293
8.100000381,87.01010132
8.300000191,86.69873047
8.5,86.86941528
8.699999809,87.77243042
8.900000572,86.09116364
9.100000381,87.63903809
9.300000191,88.72315216
9.5,87.50605011
9.699999809,87.58409882
9.900000572,87.73807526
10.10000038,87.31007385
10.30000019,86.48321533
10.5,86.11699677
10.69999981,87.17743683
10.90000057,87.54403687
11.10000038,87.90032196
11.30000019,88.10177612
11.5,87.54323578
11.69999981,87.6252594
11.90000057,88.34763336
12.10000038,87.62976074
12.30000019,86.26573181
12.5,87.45126343
12.69999981,87.1084137
12.90000057,87.88175201
13.10000038,86.55300903
13.30000019,87.6534729
13.5,87.14778137
13.69999981,87.93474579
13.90000057,88.11146545
14.10000038,87.89258575
14.30000019,87.25348663
14.5,87.07161713
14.69999981,87.0328064
14.90000057,87.11380005
15.10000038,87.52359009
15.30000019,87.75326538
15.5,86.75031281
15.69999981,87.34146881
15.90000057,87.92501068
16.10000038,87.12207794
16.30000114,87.53974152
16.5,87.47816467
16.70000076,88.82735443
16.89999962,87.31061554
17.10000038,87.07850647
17.30000114,88.34832001
17.5,89.40756226
17.70000076,87.70541382
17.89999962,87.50283051
18.10000038,87.76825714
18.30000114,87.762146
18.5,87.99185944
18.70000076,86.91136169
18.89999962,88.66337585
19.10000038,87.9814682
19.30000114,88.02046204
19.5,86.55669403
19.70000076,88.38944244
19.89999962,88.24401093
20.10000038,87.18132019
20.30000114,87.97182465
20.5,87.6421051
20.70000076,87.54424286
20.89999962,88.29057312
21.10000038,87.06143951
21.30000114,87.65439606
21.5,87.55149078
21.70000076,88.43807983
21.89999962,87.35689545
22.10000038,89.20518494
22.30000114,87.68289948
22.5,88.69882965
22.70000076,87.94056702
22.89999962,87.63832092
23.10000038,88.45232391
23.30000114,86.73368073
23.5,88.62311554
23.70000076,88.81319427
23.89999962,88.42401886
24.10000038,88.62324524
24.30000114,88.39610291
24.5,88.27267456
24.70000076,88.68884277
24.89999962,87.34268951
25.10000038,88.23042297
25.30000114,88.09898376
25.5,89.25611877
25.70000076,88.11768341
25.89999962,88.35325623
26.10000038,88.47270203
26.30000114,87.27950287
26.5,87.92218781
26.70000076,88.45635223
26.89999962,88.96004486
27.10000038,87.81925201
27.30000114,88.27761078
27.5,88.30414581
27.70000076,87.41172028
27.89999962,87.71500397
28.10000038,86.77711487
28.30000114,87.00019073
28.5,87.51226807
28.70000076,87.97203827
28.89999962,87.11639404
29.10000038,87.45568085
29.30000114,88.60411072
29.5,88.02719879
29.70000076,87.34575653
29.89999962,89.26257324
30.10000038,87.55841827
30.30000114,89.28358459
30.5,87.5070343
30.70000076,87.93676758
30.89999962,87.88355255
31.10000038,88.07238007
31.30000114,87.81159973
31.5,87.9154892
31.70000076,88.52272797
31.89999962,88.56959534
32.10000229,88.1305542
32.29999924,88.55277252
32.5,89.02246857
32.70000076,88.79198456
32.90000153,89.37470245
33.10000229,88.71453857
33.29999924,87.54005432
33.5,87.71113586
33.70000076,88.67357635
33.90000153,88.56679535
34.10000229,89.09514618
34.29999924,89.81372833
34.5,89.80118561
34.70000076,87.66623688
34.90000153,88.002388
35.10000229,88.8948288
35.29999924,88.11010742
35.5,88.3429184
35.70000076,88.66598511
35.90000153,88.67731476
36.10000229,87.71911621
36.29999924,87.90734863
36.5,89.03939819
36.70000076,87.88792419
36.90000153,88.58477783
37.10000229,89.14894867
37.29999924,89.65283966
37.5,88.70349884
37.70000076,88.90747833
37.90000153,88.78137207
38.10000229,87.94486237
38.29999924,88.18032074
38.5,88.6129837
38.70000076,88.24704742
38.90000153,88.02154541
39.10000229,88.24845886
39.29999924,88.15424347
39.5,87.98795319
39.70000076,88.23119354
39.90000153,89.00764465
40.10000229,87.97521973
40.29999924,88.57823181
40.5,85.99498749
40.70000076,86.34385681
40.90000153,85.32635498
41.10000229,89.1782608
41.29999924,89.60050201
41.5,89.81322479
41.70000076,90.50299835
41.90000153,88.32765961
42.10000229,89.77802277
42.29999924,90.0708313
42.5,90.62931824
42.70000076,90.59721375
42.90000153,90.84797668
43.10000229,90.73739624
43.29999924,90.75032806
43.5,91.35428619
43.70000076,90.98329926
43.90000153,90.99263
44.10000229,90.6936264
44.29999924,91.14569855
44.5,91.79019928
