OA + GDP,
Time (s),Intensity (a.u.)
0.100000002,86.05517578
0.300000012,85.07205963
0.5,86.30459595
0.699999988,85.72661591
0.900000036,83.96305847
1.100000024,85.10751343
1.300000072,85.55879974
1.5,84.65239716
1.700000048,85.17601776
1.899999976,86.03289032
2.100000143,85.94655609
2.299999952,84.71310425
2.5,86.56411743
2.700000048,85.66091919
2.900000095,84.85284424
3.100000143,84.89104462
3.299999952,84.87418365
3.5,85.01322937
3.700000048,85.93491364
3.900000095,85.68570709
4.099999905,84.76713562
4.300000191,85.06697845
4.5,85.03359222
4.700000286,85.84313965
4.900000095,85.61867523
5.099999905,86.53656769
5.300000191,85.88070679
5.5,84.71111298
5.700000286,85.14794922
5.900000095,86.11388397
6.099999905,84.38510895
6.300000191,84.90708923
6.5,85.77870941
6.700000286,85.11906433
6.900000095,84.49118042
7.099999905,86.13409424
7.300000191,84.57733154
7.5,85.77776337
7.700000286,85.63323975
7.900000095,85.47528076
8.100000381,86.04608917
8.300000191,86.61719513
8.5,85.53821564
8.699999809,86.42658234
8.900000572,85.62896729
9.100000381,84.63735199
9.300000191,85.45560455
9.5,86.2181015
9.699999809,86.72972107
9.900000572,85.60749054
10.10000038,86.58878326
10.30000019,86.37895203
10.5,85.95715332
10.69999981,86.06066132
10.90000057,85.9222641
11.10000038,85.55867767
11.30000019,86.69352722
11.5,85.81328583
11.69999981,84.81163025
11.90000057,86.14421082
12.10000038,84.94792175
12.30000019,85.78079224
12.5,85.8758316
12.69999981,86.52872467
12.90000057,86.15390778
13.10000038,87.01540375
13.30000019,86.59544373
13.5,87.58881378
13.69999981,86.0955658
13.90000057,86.66957855
14.10000038,85.97007751
14.30000019,86.48043823
14.5,85.64788055
14.69999981,86.31741333
14.90000057,87.43400574
15.10000038,87.05271149
15.30000019,87.61408997
15.5,87.36192322
15.69999981,85.78757477
15.90000057,87.23706055
16.10000038,86.92112732
16.30000114,87.06939697
16.5,85.48472595
16.70000076,87.16654968
16.89999962,86.73869324
17.10000038,85.68212128
17.30000114,87.09915924
17.5,86.3691864
17.70000076,86.31700897
17.89999962,87.4621048
18.10000038,87.07712555
18.30000114,86.36882019
18.5,86.70513916
18.70000076,86.19107056
18.89999962,87.14395905
19.10000038,86.64183044
19.30000114,86.38497162
19.5,86.20309448
19.70000076,87.64593506
19.89999962,87.86759186
20.10000038,86.21812439
20.30000114,86.358284
20.5,85.98486328
20.70000076,86.08787537
20.89999962,87.82310486
21.10000038,86.62711334
21.30000114,87.63648224
21.5,86.49594879
21.70000076,86.98233795
21.89999962,86.06762695
22.10000038,87.85600281
22.30000114,86.61824036
22.5,86.87244415
22.70000076,86.68292236
22.89999962,87.4332428
23.10000038,87.11817932
23.30000114,86.76129913
23.5,85.50099182
23.70000076,86.48825073
23.89999962,87.3438797
24.10000038,86.37637329
24.30000114,87.06362152
24.5,87.59190369
24.70000076,86.47795868
24.89999962,86.86537933
25.10000038,87.34017181
25.30000114,86.83816528
25.5,85.77206421
25.70000076,87.47956848
25.89999962,86.43375397
26.10000038,88.84108734
26.30000114,86.90968323
26.5,87.09371948
26.70000076,87.93990326
26.89999962,87.13330841
27.10000038,87.32967377
27.30000114,87.68408203
27.5,85.91227722
27.70000076,87.54669952
27.89999962,87.03071594
28.10000038,88.12669373
28.30000114,88.40675354
28.5,86.74344635
28.70000076,86.47749329
28.89999962,88.25668335
29.10000038,86.90546417
29.30000114,88.17774963
29.5,87.81044769
29.70000076,87.39654541
29.89999962,87.58052826
30.10000038,88.76911926
30.30000114,87.76037598
30.5,87.57807922
30.70000076,87.08779907
30.89999962,87.53761292
31.10000038,88.52388
31.30000114,87.47629547
31.5,87.26271057
31.70000076,86.95652008
31.89999962,86.54018402
32.10000229,87.33088684
32.29999924,87.33874512
32.5,88.72644043
32.70000076,87.39805603
32.90000153,88.46929169
33.10000229,86.69669342
33.29999924,87.07530975
33.5,87.92823029
33.70000076,87.49321747
33.90000153,87.59360504
34.10000229,87.27539825
34.29999924,87.13092041
34.5,87.98413086
34.70000076,87.45742798
34.90000153,88.13480377
35.10000229,87.60275269
35.29999924,87.72557831
35.5,86.21257019
35.70000076,87.14567566
35.90000153,86.79994202
36.10000229,88.51000214
36.29999924,87.76068878
36.5,87.94298553
36.70000076,87.9829483
36.90000153,87.44764709
37.10000229,88.65814972
37.29999924,88.41112518
37.5,87.06658936
37.70000076,88.0290451
37.90000153,88.21047211
38.10000229,88.41481018
38.29999924,87.48809814
38.5,88.8258667
38.70000076,88.84902191
38.90000153,87.60945892
39.10000229,87.86856842
39.29999924,87.48775482
39.5,87.24250031
39.70000076,88.46183777
39.90000153,88.29009247
40.10000229,83.63145447
40.29999924,80.36485291
40.5,73.63601685
40.70000076,75.85074615
40.90000153,87.28015137
41.10000229,87.2102356
41.29999924,88.57402802
41.5,89.2519989
41.70000076,89.9441452
41.90000153,90.43389893
42.10000229,90.58052063
42.29999924,90.43714905
42.5,91.21794891
42.70000076,90.03661346
42.90000153,90.64427185
43.10000229,90.65923309
43.29999924,90.96155548
43.5,92.47660065
43.70000076,91.55461884
43.90000153,92.15541077
44.10000229,91.3122406
44.29999924,91.29511261
44.5,93.16119385
44.70000076,92.79304504
44.90000153,93.06477356
45.10000229,92.2265625
45.29999924,93.12493896
45.5,92.43000031
45.70000076,92.00827026
45.90000153,92.94580078
46.10000229,91.95493317
46.29999924,93.40761566
46.5,91.62335968
46.70000076,91.40126038
46.90000153,93.7427063
47.10000229,92.21089935
47.29999924,93.58223724
47.5,92.57702637
47.70000076,91.45569611
47.90000153,92.48443604
48.10000229,92.56188202
48.29999924,91.5585022
48.5,93.15037537
48.70000076,92.31399536
48.90000153,92.35900116
49.10000229,91.79841614
49.29999924,91.49517822
49.5,92.51686859
49.70000076,92.766716
49.90000153,93.81494904
50.10000229,92.14624786
50.29999924,91.33730316
50.5,91.61360168
50.70000076,91.70035553
50.90000153,92.50518799
51.10000229,92.71808624
51.29999924,92.47472382
51.5,92.17294312
51.70000076,92.59049988
51.90000153,92.9701004
52.10000229,92.17417908
52.29999924,92.13217926
52.5,92.09931946
52.70000076,93.32820129
52.90000153,91.70439911
53.10000229,93.66608429
53.29999924,93.29039764
53.5,93.0659256
53.70000076,92.73149109
53.90000153,92.54177094
54.10000229,92.91500092
54.29999924,91.76676941
54.5,91.96624756
54.70000076,92.78128052
54.90000153,92.93183899
55.10000229,92.61766815
55.29999924,93.11765289
55.5,93.16745758
55.70000076,93.63603973
55.90000153,93.4188385
56.10000229,92.93489838
56.29999924,94.14668274
56.5,93.7003479
56.70000076,92.94441223
56.90000153,93.82713318
57.10000229,93.4613266
57.29999924,92.55866241
57.5,92.80867767
57.70000076,93.10466003
57.90000153,93.15386963
58.10000229,93.72466278
58.29999924,93.00643921
58.5,93.84076691
58.70000076,93.82408905
58.90000153,93.88391876
59.10000229,92.29719543
59.29999924,93.57502747
59.5,94.40320587
59.70000076,92.86625671
59.90000153,92.9389801
60.10000229,94.43761444
60.29999924,93.73879242
60.5,93.69073486
60.70000076,92.93328094
60.90000153,95.60979462
61.10000229,93.58381653
61.29999924,94.64826965
61.5,94.4562149
61.70000076,93.30130768
61.90000153,94.25379944
62.10000229,93.08703613
62.29999924,93.78234863
62.5,92.99201965
62.70000076,93.64273834
62.90000153,93.63707733
63.10000229,95.39176178
63.29999924,94.89347839
63.5,94.55089569
63.70000076,93.83705139
63.90000153,95.04140472
64.09999847,94.38253021
64.30000305,95.25808716
64.5,95.22953033
64.70000458,94.35916901
64.90000153,94.30253601
65.09999847,94.63596344
65.30000305,94.12384033
65.5,94.77353668
65.70000458,94.68831635
65.90000153,95.01664734
66.09999847,94.84895325
66.30000305,96.21942139
66.5,95.04094696
66.70000458,95.04203033
66.90000153,94.49539185
67.09999847,95.42409515
67.30000305,95.04098511
67.5,95.93336487
67.70000458,95.63467407
67.90000153,94.97380066
68.09999847,95.91832733
