NA + 10ul TBS,
Time (s),Intensity (a.u.)
0.100000002,80.11766052
0.300000012,79.01181793
0.5,80.36947632
0.699999988,80.45609283
0.900000036,79.51739502
1.100000024,78.42521667
1.300000072,79.58395386
1.5,79.29854584
1.700000048,79.98301697
1.899999976,80.11438751
2.100000143,80.19828796
2.299999952,81.64626312
2.5,80.14109802
2.700000048,81.08782196
2.900000095,81.85147858
3.100000143,81.68061829
3.299999952,82.31544495
3.5,81.63087463
3.700000048,80.8274765
3.900000095,81.34693146
4.099999905,81.59133911
4.300000191,81.97211456
4.5,80.05354309
4.700000286,81.13333893
4.900000095,81.33169556
5.099999905,80.80877686
5.300000191,80.58686066
5.5,80.25521851
5.700000286,79.71263885
5.900000095,81.20214081
6.099999905,79.73602295
6.300000191,79.94525909
6.5,80.26444244
6.700000286,79.86248779
6.900000095,79.39851379
7.099999905,80.81629944
7.300000191,79.74676514
7.5,79.16746521
7.700000286,80.01398468
7.900000095,79.5358429
8.100000381,79.88273621
8.300000191,78.91327667
8.5,79.44573212
8.699999809,80.2711792
8.900000572,80.69017792
9.100000381,80.03731537
9.300000191,79.86726379
9.5,80.38874054
9.699999809,80.1525116
9.900000572,79.35332489
10.10000038,80.29575348
10.30000019,79.16903687
10.5,80.38439941
10.69999981,78.93315125
10.90000057,79.63059998
11.10000038,79.84861755
11.30000019,80.17434692
11.5,80.98392487
11.69999981,80.75611877
11.90000057,80.93039703
12.10000038,80.11040497
12.30000019,80.53887939
12.5,79.83015442
12.69999981,79.85614777
12.90000057,81.20188904
13.10000038,80.36762238
13.30000019,80.87506866
13.5,79.7164917
13.69999981,80.83582306
13.90000057,80.57532501
14.10000038,80.06407166
14.30000019,79.13758087
14.5,81.21525574
14.69999981,80.18956757
14.90000057,80.37371826
15.10000038,79.83264923
15.30000019,81.32064056
15.5,81.31321716
15.69999981,80.47386932
15.90000057,79.64513397
16.10000038,80.09633636
16.30000114,79.14915466
16.5,80.45677185
16.70000076,79.32097626
16.89999962,80.00720215
17.10000038,80.59710693
17.30000114,80.17643738
17.5,79.7837677
17.70000076,80.01326752
17.89999962,80.23628235
18.10000038,79.65877533
18.30000114,81.24802399
18.5,80.06468964
18.70000076,80.63896942
18.89999962,80.11520386
19.10000038,81.299263
19.30000114,81.21711731
19.5,80.79779816
19.70000076,80.32868195
19.89999962,80.32524109
20.10000038,80.5047226
20.30000114,80.19512939
20.5,79.99959564
20.70000076,79.51765442
20.89999962,80.40674591
21.10000038,80.85775757
21.30000114,81.6684494
21.5,81.43128967
21.70000076,79.63458252
21.89999962,79.4568634
22.10000038,80.38762665
22.30000114,80.68408203
22.5,80.02061462
22.70000076,79.9302597
22.89999962,79.85566711
23.10000038,80.26473999
23.30000114,79.60173798
23.5,80.06045532
23.70000076,81.14496613
23.89999962,81.15694427
24.10000038,79.86074066
24.30000114,80.39013672
24.5,79.9577713
24.70000076,79.91249084
24.89999962,81.0838623
25.10000038,80.38500977
25.30000114,80.7137146
25.5,80.61643982
25.70000076,80.64204407
25.89999962,80.49578094
26.10000038,80.48898315
26.30000114,80.06846619
26.5,80.21509552
26.70000076,81.96839905
26.89999962,80.94382477
27.10000038,80.02007294
27.30000114,81.93113708
27.5,79.67359161
27.70000076,80.10560608
27.89999962,79.71089935
28.10000038,80.21801758
28.30000114,81.72814941
28.5,80.36560059
28.70000076,80.32357025
28.89999962,80.37921906
29.10000038,80.4821701
29.30000114,80.40838623
29.5,80.81967163
29.70000076,79.83017731
29.89999962,81.39179993
30.10000038,81.7618866
30.30000114,81.65470886
30.5,81.55101776
30.70000076,80.49636078
30.89999962,80.40663147
31.10000038,81.03131104
31.30000114,80.72376251
31.5,80.61763
31.70000076,81.36330414
31.89999962,80.45249176
32.10000229,80.52038574
32.29999924,79.8460083
32.5,81.21762085
32.70000076,80.50454712
32.90000153,79.8391037
33.10000229,81.29191589
33.29999924,80.38358307
33.5,80.57598114
33.70000076,80.72950745
33.90000153,80.5668869
34.10000229,80.25563812
34.29999924,79.52681732
34.5,80.82447815
34.70000076,81.17953491
34.90000153,80.38023376
35.10000229,79.65603638
35.29999924,80.43772125
35.5,80.10706329
35.70000076,80.97183228
35.90000153,80.27466583
36.10000229,81.88350677
36.29999924,80.79785156
36.5,80.44500732
36.70000076,80.64037323
36.90000153,81.10894012
37.10000229,80.96756744
37.29999924,79.28047943
37.5,80.6661911
37.70000076,80.02994537
37.90000153,79.79058838
38.10000229,80.7636795
38.29999924,79.74262238
38.5,80.23392487
38.70000076,80.23435211
38.90000153,80.56703949
39.10000229,80.70797729
39.29999924,82.02851868
39.5,80.72212982
39.70000076,80.3759079
39.90000153,81.19478607
40.10000229,81.19283295
40.29999924,80.22756958
40.5,79.01818085
40.70000076,78.38956451
40.90000153,74.83448792
41.10000229,83.49312592
41.29999924,81.62197113
41.5,79.71231079
41.70000076,79.98435974
41.90000153,81.15483856
42.10000229,81.21372986
42.29999924,80.88010406
42.5,82.5279007
42.70000076,81.62754822
42.90000153,84.14144135
43.10000229,84.06781006
43.29999924,83.36686707
43.5,82.73036194
43.70000076,83.00922394
43.90000153,82.46250916
44.10000229,82.84208679
44.29999924,82.4948349
44.5,83.42905426
44.70000076,82.86494446
44.90000153,84.18798065
45.10000229,83.38174438
45.29999924,83.41199493
45.5,82.59714508
45.70000076,84.12612915
45.90000153,84.15866089
46.10000229,84.58566284
46.29999924,83.23467255
46.5,84.58737946
46.70000076,83.4788208
46.90000153,83.25231934
47.10000229,84.49015808
47.29999924,85.37726593
47.5,83.80357361
47.70000076,84.49203491
47.90000153,84.45980072
48.10000229,84.62201691
48.29999924,83.95935059
48.5,84.54466248
48.70000076,84.59699249
48.90000153,85.23069763
49.10000229,84.5766983
49.29999924,85.2791748
49.5,85.12046051
49.70000076,85.31690216
