GDP + 10ul TBS,
Time (s),Intensity (a.u.)
0.100000002,78.07269287
0.300000012,77.08200073
0.5,77.54724884
0.699999988,77.26751709
0.900000036,76.65589905
1.100000024,76.98135376
1.300000072,76.6496582
1.5,77.07318115
1.700000048,75.90531921
1.899999976,76.83590698
2.100000143,77.14564514
2.299999952,76.82291412
2.5,77.44514465
2.700000048,77.02843475
2.900000095,76.51535797
3.100000143,76.96987915
3.299999952,78.29039001
3.5,78.30072021
3.700000048,76.91041565
3.900000095,77.06225586
4.099999905,78.35295105
4.300000191,77.15407562
4.5,78.397789
4.700000286,77.14797211
4.900000095,76.70772552
5.099999905,76.97049713
5.300000191,76.23509979
5.5,77.04200745
5.700000286,77.26042175
5.900000095,77.78202057
6.099999905,77.51313019
6.300000191,77.0020752
6.5,76.85697937
6.700000286,76.36110687
6.900000095,77.1818924
7.099999905,76.7166748
7.300000191,77.14378357
7.5,75.71147156
7.700000286,77.24370575
7.900000095,77.32025909
8.100000381,76.36275482
8.300000191,77.08424377
8.5,77.91159058
8.699999809,76.89629364
8.900000572,76.53004456
9.100000381,77.70959473
9.300000191,77.81104279
9.5,77.67688751
9.699999809,78.54972839
9.900000572,76.87615967
10.10000038,76.63870239
10.30000019,77.60612488
10.5,77.53244019
10.69999981,77.96599579
10.90000057,78.67726898
11.10000038,77.98643494
11.30000019,77.95957184
11.5,79.1299057
11.69999981,77.53520966
11.90000057,77.26852417
12.10000038,77.73144531
12.30000019,78.37326813
12.5,78.00558472
12.69999981,76.8459549
12.90000057,77.60501862
13.10000038,77.86775208
13.30000019,78.07290649
13.5,77.49449158
13.69999981,78.41221619
13.90000057,77.97068787
14.10000038,77.42089844
14.30000019,78.13605499
14.5,77.61341858
14.69999981,77.37077332
14.90000057,77.18473816
15.10000038,77.85991669
15.30000019,77.94593811
15.5,77.71084595
15.69999981,78.34505463
15.90000057,78.24079895
16.10000038,77.77458191
16.30000114,77.1984024
16.5,77.85279083
16.70000076,78.18114471
16.89999962,78.34319305
17.10000038,77.40119171
17.30000114,77.44351196
17.5,78.30112457
17.70000076,76.90117645
17.89999962,78.16750336
18.10000038,77.5259552
18.30000114,78.03450775
18.5,77.70223999
18.70000076,77.4052887
18.89999962,76.95213318
19.10000038,78.0127182
19.30000114,78.03006744
19.5,77.66511536
19.70000076,78.15610504
19.89999962,78.5407486
20.10000038,78.19436646
20.30000114,78.02528381
20.5,77.17229462
20.70000076,77.98136139
20.89999962,77.79165649
21.10000038,78.49850464
21.30000114,77.44487762
21.5,77.1217804
21.70000076,77.39776611
21.89999962,77.25417328
22.10000038,78.87970734
22.30000114,78.1443634
22.5,78.25785065
22.70000076,78.15724182
22.89999962,78.47592163
23.10000038,77.38536072
23.30000114,77.55641174
23.5,77.88831329
23.70000076,77.73823547
23.89999962,78.74700928
24.10000038,77.27981567
24.30000114,78.46129608
24.5,78.10719299
24.70000076,77.60393524
24.89999962,78.02536774
25.10000038,78.17404938
25.30000114,78.29547882
25.5,76.97976685
25.70000076,76.51996613
25.89999962,78.15791321
26.10000038,78.35369873
26.30000114,77.13500977
26.5,77.32452393
26.70000076,77.13536835
26.89999962,77.72566223
27.10000038,77.24124146
27.30000114,77.96579742
27.5,78.43953705
27.70000076,78.47415924
27.89999962,77.85401917
28.10000038,76.50796509
28.30000114,78.94921875
28.5,78.87257385
28.70000076,77.72694397
28.89999962,77.76236725
29.10000038,78.2831955
29.30000114,77.03594208
29.5,78.36416626
29.70000076,78.51426697
29.89999962,77.45787048
30.10000038,77.76152802
30.30000114,77.12570953
30.5,78.75166321
30.70000076,77.21074677
30.89999962,77.74599457
31.10000038,78.45063782
31.30000114,78.32257843
31.5,77.70236206
31.70000076,78.02088165
31.89999962,77.55783844
