OA + 10ul TBS ,
Time (s),Intensity (a.u.)
0.100000002,83.77125549
0.300000012,84.40484619
0.5,85.04115295
0.699999988,84.95206451
0.900000036,83.37626648
1.100000024,84.24436188
1.300000072,84.42140961
1.5,84.33548737
1.700000048,84.61801147
1.899999976,84.28192139
2.100000143,83.97512817
2.299999952,85.01186371
2.5,82.90755463
2.700000048,85.09461975
2.900000095,84.95776367
3.100000143,83.02519989
3.299999952,84.80419159
3.5,84.78188324
3.700000048,83.8833847
3.900000095,85.51063538
4.099999905,84.45599365
4.300000191,85.15619659
4.5,84.30201721
4.700000286,83.51638031
4.900000095,85.06060791
5.099999905,84.16377258
5.300000191,84.51339722
5.5,85.58456421
5.700000286,83.994133
5.900000095,84.35709381
6.099999905,85.18225098
6.300000191,85.03094482
6.5,85.55336761
6.700000286,85.22407532
6.900000095,83.72470093
7.099999905,86.12646484
7.300000191,85.42266846
7.5,85.73503876
7.700000286,83.47959137
7.900000095,85.87471008
8.100000381,84.72373962
8.300000191,83.30097198
8.5,85.69342804
8.699999809,84.06495667
8.900000572,84.86329651
9.100000381,85.18578339
9.300000191,84.57854462
9.5,84.54899597
9.699999809,85.01951599
9.900000572,84.22338104
10.10000038,84.39620209
10.30000019,84.60449982
10.5,84.86724854
10.69999981,84.87568665
10.90000057,84.4931488
11.10000038,85.2521286
11.30000019,84.5294342
11.5,85.11701965
11.69999981,83.57823944
11.90000057,85.03915405
12.10000038,85.46956635
12.30000019,85.94245911
12.5,85.21318817
12.69999981,85.72943878
12.90000057,84.92974854
13.10000038,86.29872131
13.30000019,86.02857971
13.5,87.33286285
13.69999981,86.78660583
13.90000057,85.39234924
14.10000038,87.09457397
14.30000019,87.59750366
14.5,86.24020386
14.69999981,86.53816986
14.90000057,85.63114166
15.10000038,86.85641479
15.30000019,85.62518311
15.5,86.50137329
15.69999981,86.46533966
15.90000057,86.09780884
16.10000038,85.77867126
16.30000114,86.84477997
16.5,85.62132263
16.70000076,86.8769455
16.89999962,86.31880188
17.10000038,85.68840027
17.30000114,86.22950745
17.5,86.74223328
17.70000076,86.40658569
17.89999962,85.76061249
18.10000038,86.88565826
18.30000114,86.23266602
18.5,86.00263214
18.70000076,85.93240356
18.89999962,86.01504517
19.10000038,86.24778748
19.30000114,86.44628906
19.5,87.14583588
19.70000076,86.3465271
19.89999962,86.70484924
20.10000038,86.46647644
20.30000114,85.54059601
20.5,86.11441803
20.70000076,85.90665436
20.89999962,86.66833496
21.10000038,86.70674896
21.30000114,86.37789154
21.5,86.11463165
21.70000076,85.16709137
21.89999962,84.98948669
22.10000038,86.45068359
22.30000114,85.58371735
22.5,86.64325714
22.70000076,86.9524231
22.89999962,86.69489288
23.10000038,87.31546783
23.30000114,86.8059082
23.5,85.43222809
23.70000076,86.63108063
23.89999962,87.41635132
24.10000038,86.22177124
24.30000114,86.15472412
24.5,85.71880341
24.70000076,86.30469513
24.89999962,86.37821198
25.10000038,86.95381927
25.30000114,87.19098663
25.5,87.25564575
25.70000076,87.40627289
25.89999962,86.67356873
26.10000038,87.0524826
26.30000114,85.62232208
26.5,87.41751862
26.70000076,86.46582031
26.89999962,86.83985901
27.10000038,86.61595917
27.30000114,86.5723877
27.5,86.50016785
27.70000076,86.79920197
27.89999962,87.03877258
28.10000038,86.79792786
28.30000114,86.78059387
28.5,86.79144287
28.70000076,85.84422302
28.89999962,87.87050629
29.10000038,87.34697723
29.30000114,87.45420837
29.5,86.47496033
29.70000076,86.7321701
29.89999962,86.58236694
30.10000038,86.87918854
30.30000114,86.42446136
30.5,87.80042267
30.70000076,86.53787231
30.89999962,87.33341217
31.10000038,86.8862381
31.30000114,86.55770111
31.5,87.62187195
31.70000076,86.27740479
31.89999962,86.68686676
32.10000229,87.18379211
32.29999924,86.26631165
32.5,86.4441452
32.70000076,87.88800049
32.90000153,87.18297577
33.10000229,86.84894562
33.29999924,86.72341919
33.5,87.10068512
33.70000076,86.78170776
33.90000153,86.42433167
34.10000229,86.2104187
34.29999924,85.87226105
34.5,87.1061554
34.70000076,86.97127533
34.90000153,88.40949249
35.10000229,86.60300446
35.29999924,86.56564331
35.5,87.03681183
35.70000076,86.71895599
35.90000153,86.92329407
36.10000229,86.85107422
36.29999924,88.08058167
36.5,87.61566162
36.70000076,87.73296356
36.90000153,88.01533508
37.10000229,87.7688446
37.29999924,88.34423828
37.5,87.77146149
37.70000076,87.18996429
37.90000153,86.20916748
38.10000229,86.94018555
38.29999924,86.98859406
38.5,86.62493134
38.70000076,87.87275696
38.90000153,86.62104797
39.10000229,87.64603424
39.29999924,88.13866425
39.5,85.43617249
39.70000076,86.17468262
39.90000153,87.48551178
40.10000229,86.37503815
40.29999924,86.75219727
40.5,79.4774704
40.70000076,79.75739288
40.90000153,94.63591766
41.10000229,90.02304077
41.29999924,90.70156097
41.5,90.9834137
41.70000076,91.68899536
41.90000153,92.55316162
42.10000229,92.54261017
42.29999924,93.91902924
42.5,95.1974411
42.70000076,95.28746796
42.90000153,96.92599487
43.10000229,96.31082153
43.29999924,96.65827179
43.5,98.07048035
43.70000076,97.28116608
43.90000153,98.11197662
44.10000229,98.32247162
44.29999924,98.66625977
44.5,99.88273621
44.70000076,98.72242737
44.90000153,101.4827881
45.10000229,99.79640198
45.29999924,99.36458588
45.5,99.54330444
45.70000076,100.6515503
45.90000153,100.7692337
46.10000229,101.0187225
46.29999924,101.9793243
46.5,101.4714355
46.70000076,102.1818314
46.90000153,102.2712173
47.10000229,101.6799545
47.29999924,101.5566864
47.5,102.0310669
47.70000076,102.2631378
47.90000153,103.5640259
48.10000229,103.4979858
48.29999924,103.3847961
48.5,103.5717239
48.70000076,102.5938721
48.90000153,103.2941589
49.10000229,102.6173935
49.29999924,104.2217407
49.5,103.5027924
49.70000076,105.3100281
49.90000153,104.5987701
50.10000229,103.6071167
50.29999924,103.9595947
50.5,103.9717712
50.70000076,104.1258545
50.90000153,104.0899658
51.10000229,104.8283463
51.29999924,104.7974243
51.5,104.3790817
51.70000076,104.2178345
51.90000153,104.9339142
52.10000229,104.0077362
52.29999924,104.8439331
52.5,105.4883041
52.70000076,106.6616058
52.90000153,105.5670395
53.10000229,106.0542603
53.29999924,104.9755554
53.5,104.7161942
53.70000076,105.6219254
53.90000153,106.3840714
54.10000229,105.9932327
54.29999924,105.0805969
54.5,105.3736496
54.70000076,105.8112946
54.90000153,104.758461
55.10000229,105.4355011
55.29999924,105.7043686
55.5,105.5812149
55.70000076,104.6385117
55.90000153,106.2632446
56.10000229,105.4627991
56.29999924,104.9382706
56.5,106.6991501
56.70000076,105.0258865
56.90000153,105.0820465
