OA + GDP + TBS,
Time (s),Intensity (a.u.)
0.100000002,82.82961273
0.300000012,82.31412506
0.5,82.39984894
0.699999988,82.40934753
0.900000036,82.81417084
1.100000024,82.15126801
1.300000072,82.58323669
1.5,82.1659317
1.700000048,83.42692566
1.899999976,83.00545502
2.100000143,83.44406891
2.299999952,80.6749649
2.5,82.54454803
2.700000048,82.07714844
2.900000095,81.96908569
3.100000143,82.20355225
3.299999952,83.65085602
3.5,82.64028931
3.700000048,81.97473907
3.900000095,82.65966034
4.099999905,81.83964539
4.300000191,84.03121948
4.5,82.98652649
4.700000286,82.53453827
4.900000095,82.28899384
5.099999905,81.28991699
5.300000191,81.62767792
5.5,82.73529816
5.700000286,81.78154755
5.900000095,82.56356812
6.099999905,82.05636597
6.300000191,83.18092346
6.5,82.77972412
6.700000286,81.43972015
6.900000095,82.8788681
7.099999905,82.74983215
7.300000191,83.57678223
7.5,83.41538239
7.700000286,82.90193939
7.900000095,82.93540192
8.100000381,81.71219635
8.300000191,82.64489746
8.5,82.57885742
8.699999809,82.39109802
8.900000572,82.11011505
9.100000381,82.24427795
9.300000191,82.74686432
9.5,82.27043152
9.699999809,83.32434082
9.900000572,82.41114807
10.10000038,82.27245331
10.30000019,81.95948029
10.5,82.36524963
10.69999981,82.73029327
10.90000057,83.46256256
11.10000038,83.59508514
11.30000019,82.22489929
11.5,83.0585022
11.69999981,82.47032166
11.90000057,82.81368256
12.10000038,82.76731873
12.30000019,82.45595551
12.5,83.03485107
12.69999981,82.36162567
12.90000057,83.31676483
13.10000038,83.82575226
13.30000019,83.60773468
13.5,83.45308685
13.69999981,82.62899017
13.90000057,83.36087799
14.10000038,83.6677475
14.30000019,83.3465271
14.5,84.2028656
14.69999981,83.34642029
14.90000057,83.4526062
15.10000038,82.29668427
15.30000019,83.42327118
15.5,84.69776917
15.69999981,83.96503448
15.90000057,83.6313324
16.10000038,83.82966614
16.30000114,84.71840668
16.5,83.13887787
16.70000076,83.63198853
16.89999962,83.14392853
17.10000038,84.40216827
17.30000114,83.57640076
17.5,83.15770721
17.70000076,83.6752243
17.89999962,84.07533264
18.10000038,83.93602753
18.30000114,84.97685242
18.5,84.52629089
18.70000076,83.94511414
18.89999962,84.02240753
19.10000038,84.56165314
19.30000114,83.2736969
19.5,83.63757324
19.70000076,83.16373444
19.89999962,83.41308594
20.10000038,84.29625702
20.30000114,83.97852325
20.5,84.2193222
20.70000076,85.09037781
20.89999962,84.00023651
21.10000038,82.99287415
21.30000114,82.86698151
21.5,83.47651672
21.70000076,84.04763031
21.89999962,83.57989502
22.10000038,84.05393982
22.30000114,83.78019714
22.5,83.59670258
22.70000076,83.86694336
22.89999962,82.7864151
23.10000038,84.0386734
23.30000114,84.85353088
23.5,83.83123016
23.70000076,84.02062225
23.89999962,83.87539673
24.10000038,82.9771347
24.30000114,84.28604889
24.5,84.28215027
24.70000076,84.59393311
24.89999962,83.86399078
25.10000038,83.58689117
25.30000114,84.86769867
25.5,84.35424042
25.70000076,82.87090302
25.89999962,83.24346161
26.10000038,84.38036346
26.30000114,84.31270599
26.5,84.85486603
26.70000076,83.97718811
26.89999962,83.92906952
27.10000038,82.53295135
27.30000114,84.01548004
27.5,83.79270172
27.70000076,83.092659
27.89999962,83.81089783
28.10000038,83.80847168
28.30000114,85.07627869
28.5,83.63777161
28.70000076,83.58261871
28.89999962,84.02325439
29.10000038,83.41978455
29.30000114,84.4329071
29.5,83.93903351
29.70000076,83.32037354
29.89999962,83.71315002
30.10000038,84.17292023
30.30000114,84.2958374
30.5,83.62274933
30.70000076,83.89122009
30.89999962,84.09619141
31.10000038,83.36870575
31.30000114,83.09287262
31.5,84.24663544
31.70000076,84.37908173
31.89999962,83.57627869
32.10000229,83.85838318
32.29999924,84.26786804
32.5,83.26767731
32.70000076,82.55153656
32.90000153,83.57949829
33.10000229,84.26242065
33.29999924,83.28868103
33.5,83.71866608
33.70000076,83.4345932
33.90000153,84.29304504
34.10000229,83.95220947
34.29999924,84.77314758
34.5,85.15099335
34.70000076,83.80409241
34.90000153,83.15120697
35.10000229,84.10046387
35.29999924,83.59104919
35.5,83.34996796
35.70000076,84.31593323
35.90000153,84.52081299
36.10000229,84.1072464
36.29999924,85.24396515
36.5,83.64629364
36.70000076,82.89861298
36.90000153,83.01863098
37.10000229,84.34300995
37.29999924,85.5997467
37.5,84.06023407
37.70000076,83.23094177
37.90000153,84.35879517
38.10000229,85.08955383
38.29999924,85.06053925
38.5,83.43625641
38.70000076,84.09046173
38.90000153,83.76683044
39.10000229,84.45387268
39.29999924,84.15800476
39.5,83.61755371
39.70000076,85.02120209
39.90000153,84.3039856
40.10000229,83.90668488
40.29999924,85.14686584
40.5,83.72841644
40.70000076,89.63450623
40.90000153,85.72259521
41.10000229,84.1038208
41.29999924,84.36090851
41.5,84.06452179
41.70000076,82.71961212
41.90000153,84.72789764
42.10000229,85.03901672
42.29999924,84.82001495
42.5,85.16153717
42.70000076,84.80767059
42.90000153,84.62838745
43.10000229,86.23337555
43.29999924,86.47860718
43.5,86.20128632
43.70000076,86.96186829
43.90000153,86.63520813
44.10000229,86.60839844
44.29999924,87.39985657
44.5,87.47879028
44.70000076,87.38919067
44.90000153,87.05128479
45.10000229,87.86564636
45.29999924,88.74784088
45.5,88.74745178
45.70000076,88.85917664
45.90000153,88.00754547
46.10000229,89.58995056
46.29999924,89.0418396
46.5,90.03848267
46.70000076,88.36262512
46.90000153,90.58363342
47.10000229,88.59151459
47.29999924,90.1769104
47.5,90.56626129
47.70000076,90.49643707
47.90000153,90.30431366
48.10000229,89.0038681
48.29999924,89.41789246
48.5,89.44126892
48.70000076,89.57887268
48.90000153,90.14955139
49.10000229,89.54704285
49.29999924,90.30786896
49.5,89.72397614
49.70000076,90.52355957
49.90000153,90.27682495
50.10000229,90.55950165
50.29999924,90.82234192
50.5,89.46794128
50.70000076,91.15571594
50.90000153,90.69667053
51.10000229,91.83080292
51.29999924,90.09960938
51.5,90.66220093
51.70000076,90.46983337
51.90000153,90.33205414
52.10000229,91.88803101
52.29999924,91.16275787
52.5,92.10741425
52.70000076,92.18900299
52.90000153,92.09915924
53.10000229,92.81906891
53.29999924,91.15624237
53.5,90.82004547
53.70000076,92.01206207
53.90000153,91.62010956
54.10000229,92.37982178
54.29999924,92.57016754
54.5,92.03180695
54.70000076,92.72169495
54.90000153,92.29527283
55.10000229,91.16615295
55.29999924,93.99409485
55.5,93.19789886
55.70000076,91.29275513
55.90000153,93.35787964
56.10000229,93.48404694
56.29999924,91.96297455
56.5,93.28361511
56.70000076,93.10041809
56.90000153,93.50056458
57.10000229,92.54536438
57.29999924,94.05872345
57.5,94.1561203
57.70000076,93.48492432
57.90000153,95.32261658
58.10000229,93.02325439
58.29999924,93.76660156
58.5,93.18102264
58.70000076,91.71640015
58.90000153,93.27793121
59.10000229,92.86126709
59.29999924,93.65099335
59.5,92.42433167
59.70000076,94.94386292
59.90000153,94.03590393
60.10000229,94.82767487
60.29999924,93.59675598
60.5,94.62549591
60.70000076,93.88208008
60.90000153,94.85435486
61.10000229,94.64076233
61.29999924,95.01421356
