NA + 50uM NB65 + TBS,
Time (s),Intensity (a.u.)
0.100000002,81.27700043
0.300000012,81.29721832
0.5,80.16230774
0.699999988,79.82217407
0.900000036,80.95063782
1.100000024,80.10541534
1.300000072,80.24750519
1.5,80.532547
1.700000048,81.48073578
1.899999976,81.77784729
2.100000143,80.37343597
2.299999952,80.21886444
2.5,81.18735504
2.700000048,81.12622833
2.900000095,79.91998291
3.100000143,80.8980484
3.299999952,79.99067688
3.5,80.39186096
3.700000048,79.4264679
3.900000095,81.18642426
4.099999905,79.9978714
4.300000191,80.31455231
4.5,79.5590744
4.700000286,80.34970093
4.900000095,79.70962524
5.099999905,80.61865234
5.300000191,79.99494934
5.5,80.39012909
5.700000286,80.38314056
5.900000095,80.30680847
6.099999905,79.39056396
6.300000191,80.1971817
6.5,79.61806488
6.700000286,78.18654633
6.900000095,79.13263702
7.099999905,80.57324219
7.300000191,79.21601868
7.5,79.9261322
7.700000286,79.12319183
7.900000095,80.53388977
8.100000381,80.22440338
8.300000191,80.31463623
8.5,79.34600067
8.699999809,79.61790466
8.900000572,80.42224121
9.100000381,79.77703094
9.300000191,79.19441986
9.5,79.80628204
9.699999809,81.25204468
9.900000572,78.95366669
10.10000038,80.65379333
10.30000019,81.44930267
10.5,79.40216064
10.69999981,79.64121246
10.90000057,80.90702057
11.10000038,79.83894348
11.30000019,80.24458313
11.5,79.48358917
11.69999981,79.39415741
11.90000057,78.72027588
12.10000038,79.9828186
12.30000019,80.69180298
12.5,79.89840698
12.69999981,79.34449768
12.90000057,79.00888824
13.10000038,79.89761353
13.30000019,80.16592407
13.5,80.53964233
13.69999981,79.43864441
13.90000057,78.97298431
14.10000038,78.91320038
14.30000019,79.66157532
14.5,80.30338287
14.69999981,79.69151306
14.90000057,80.40357971
15.10000038,79.86882019
15.30000019,80.00802612
15.5,80.11760712
15.69999981,80.50354767
15.90000057,80.28507996
16.10000038,80.37003326
16.30000114,79.51995087
16.5,80.20798492
16.70000076,81.04117584
16.89999962,80.33506012
17.10000038,80.49300385
17.30000114,79.71302032
17.5,80.6717453
17.70000076,80.48032379
17.89999962,79.18130493
18.10000038,80.42765808
18.30000114,79.16109467
18.5,80.36522675
18.70000076,80.69968414
18.89999962,81.01395416
19.10000038,79.60068512
19.30000114,80.46390533
19.5,81.07429504
19.70000076,79.29418182
19.89999962,80.54315948
20.10000038,80.89280701
20.30000114,78.83202362
20.5,80.97653198
20.70000076,81.008255
20.89999962,81.44557953
21.10000038,80.14730835
21.30000114,80.85187531
21.5,79.65072632
21.70000076,80.76939392
21.89999962,81.87026978
22.10000038,79.76238251
22.30000114,80.55757141
22.5,80.33909607
22.70000076,80.43832397
22.89999962,80.26155853
23.10000038,79.69606781
23.30000114,80.25728607
23.5,81.11684418
23.70000076,80.61534119
23.89999962,81.42614746
24.10000038,80.58363342
24.30000114,79.82978058
24.5,79.67015839
24.70000076,79.87454224
24.89999962,80.68539429
25.10000038,80.64796448
25.30000114,80.35358429
25.5,79.95617676
25.70000076,80.37766266
25.89999962,80.58481598
26.10000038,79.33113098
26.30000114,81.23442841
26.5,78.54560089
26.70000076,80.21775818
26.89999962,80.15867615
27.10000038,80.04505157
27.30000114,79.75563812
27.5,80.5510788
27.70000076,79.09896851
27.89999962,80.59259033
28.10000038,80.21419525
28.30000114,79.74299622
28.5,80.39299774
28.70000076,79.76463318
28.89999962,81.22381592
29.10000038,80.28665924
29.30000114,80.71435547
29.5,80.00338745
29.70000076,80.5645752
29.89999962,81.53259277
30.10000038,80.93917847
30.30000114,79.14774323
30.5,81.10237122
30.70000076,81.16036987
30.89999962,79.77388
31.10000038,81.12664795
31.30000114,80.33631134
31.5,81.05280304
31.70000076,80.15439606
31.89999962,79.43773651
32.10000229,80.33229065
32.29999924,79.85518646
32.5,79.19869995
32.70000076,80.12496185
32.90000153,79.30062866
33.10000229,80.11773682
33.29999924,79.41571808
33.5,80.49944305
33.70000076,80.30204773
33.90000153,80.78564453
34.10000229,78.62929535
34.29999924,80.26642609
34.5,80.63445282
34.70000076,80.69784546
34.90000153,80.71939087
35.10000229,79.94115448
35.29999924,80.48688507
35.5,80.97906494
35.70000076,80.44875336
35.90000153,80.29244232
36.10000229,81.19540405
36.29999924,80.79673004
36.5,80.91828918
36.70000076,81.820755
36.90000153,80.7144165
37.10000229,80.96542358
37.29999924,82.13816071
37.5,83.23205566
37.70000076,80.69215393
37.90000153,82.62513733
38.10000229,81.57752228
38.29999924,81.82465363
38.5,82.19419861
38.70000076,82.76583862
38.90000153,80.709198
39.10000229,81.74951172
39.29999924,82.12275696
39.5,81.42162323
39.70000076,80.96327972
39.90000153,82.37441254
40.10000229,81.49414825
40.29999924,77.56900787
40.5,75.15996552
40.70000076,74.26681519
40.90000153,79.73965454
41.10000229,80.12296295
41.29999924,78.11673737
41.5,79.14685059
41.70000076,78.97636414
41.90000153,80.90601349
42.10000229,79.90543365
42.29999924,80.25418854
42.5,79.45607758
42.70000076,79.78145599
42.90000153,79.92597961
43.10000229,79.51355743
43.29999924,80.12814331
43.5,80.62094116
43.70000076,80.76148224
43.90000153,81.65955353
44.10000229,80.71516418
44.29999924,80.69010925
44.5,80.11238098
44.70000076,81.00070953
44.90000153,80.40602875
45.10000229,81.14585114
45.29999924,80.80706024
45.5,80.98412323
45.70000076,80.24514771
45.90000153,80.83335876
46.10000229,80.39506531
46.29999924,80.80130768
46.5,81.87742615
46.70000076,82.10504913
46.90000153,82.26672363
47.10000229,81.37810516
47.29999924,80.76834106
47.5,81.10192108
47.70000076,81.150383
47.90000153,81.91065216
48.10000229,80.63491058
48.29999924,81.59771729
48.5,81.27367401
48.70000076,81.74700928
48.90000153,82.61236572
49.10000229,81.51899719
49.29999924,81.03794861
49.5,80.81462097
49.70000076,81.7321701
49.90000153,82.4967041
50.10000229,81.88648224
50.29999924,82.13323212
50.5,81.31954193
50.70000076,82.53718567
50.90000153,82.09307861
51.10000229,81.34325409
51.29999924,82.70584869
51.5,81.6906662
51.70000076,81.15796661
51.90000153,81.40556335
52.10000229,82.86442566
52.29999924,81.61462402
52.5,82.94484711
52.70000076,82.48262787
52.90000153,82.15892792
53.10000229,83.29668427
53.29999924,83.67450714
53.5,84.17980194
53.70000076,83.85700989
53.90000153,84.94200897
54.10000229,85.34759521
54.29999924,85.70713043
54.5,84.78842926
54.70000076,84.46272278
54.90000153,84.80826569
55.10000229,85.00629425
55.29999924,84.63336945
55.5,85.41314697
55.70000076,84.18887329
55.90000153,84.81158447
56.10000229,84.28990173
56.29999924,83.5178299
56.5,83.85991669
56.70000076,83.01126862
56.90000153,82.65001678
57.10000229,84.60503387
57.29999924,81.84610748
57.5,82.35999298
57.70000076,82.24052429
57.90000153,83.44122314
58.10000229,83.70664215
58.29999924,83.69178772
58.5,83.70632172
58.70000076,85.05067444
58.90000153,85.28486633
59.10000229,83.93023682
59.29999924,84.91419983
59.5,85.28039551
59.70000076,86.51911163
59.90000153,83.88687897
60.10000229,84.85881805
60.29999924,84.28087616
60.5,84.62012482
60.70000076,85.3460083
60.90000153,84.84073639
61.10000229,84.6150589
61.29999924,84.24330139
61.5,84.91678619
61.70000076,83.99248505
61.90000153,84.48296356
62.10000229,84.32857513
62.29999924,84.47386169
62.5,85.16274261
62.70000076,84.51994324
62.90000153,84.54006958
63.10000229,83.79481506
63.29999924,85.64608765
63.5,85.54090118
63.70000076,85.93766022
63.90000153,85.08885193
64.09999847,84.85168457
64.30000305,85.21808624
64.5,84.94675446
64.70000458,84.7362442
64.90000153,85.53329468
65.09999847,85.9132309
65.30000305,85.30638123
65.5,84.00975037
65.70000458,85.11574554
65.90000153,85.52925873
66.09999847,84.7440567
66.30000305,85.70639801
66.5,84.70213318
66.70000458,85.45716858
66.90000153,85.86882019
67.09999847,85.32095337
67.30000305,84.77058411
67.5,84.46794128
67.70000458,85.35803986
67.90000153,84.72979736
68.09999847,86.55866241
68.30000305,85.14376831
68.5,85.75763702
68.70000458,86.08139038
68.90000153,85.70259094
69.09999847,85.80998993
69.30000305,84.77253723
